1,1,бутылка
2,2,банка
3,3,кег
4,4,тетрапак
5,5,заморозка
6,6,мороженное
7,7,промо набор
8,8,жвачка
9,9,шоколадки
10,10,леденцы
11,11,снеки/, сухарики
12,12,чипсы
13,13,чай
14,14,торты
15,15,соль/, приправы
16,16,сигареты
17,17,семечки
18,18,рыбка
19,19,рулет
20,20,приправы
21,21,презервативы
22,22,пирожное
23,23,печенье
24,24,орешки
25,25,мука
26,26,макароны
27,27,майонез
28,28,лапша/, картофель быстрого приготовления
29,29,крупа
30,30,кофе
31,31,корм для животных
32,32,конфеты
33,33,консервы
34,34,кетчуп/, соус в бут.
35,35,зажигалки/, мундштук
36,36,все сладости
37,37,сахар
38,38,батарейки
39,39,Туалетная бумага
40,40,Салфетки//полотенца бумажные
41,41,Салфетки влажные
42,42,Чистящие//моющие средства (для ванны/, для унитаза/, для кухни)
43,43,Шампунь//Бальзам для волос
44,44,Гель для душа //Пена для ванн
45,45,Мыло кусковое
46,46,Мыло жидкое
47,47,Подгузники
48,48,Ватные диски
49,49,Стиральный порошок
50,50,Зубная паста
51,51,Зубные щетки
52,52,Крема для лица
53,53,Крема для рук и тела
54,54,Губка д/мытья посуды
55,55,Кондиционер для белья/Отбеливатель
56,56,Краска для волос//Маска для волос
57,57,Мешки для мусора//Пакеты
58,58,Освежитель воздуха
59,59,Скатерть
60,60,Детское питание
61,61,Выпечка//Сдоба
62,62,Бублик//Сушки//Баранки//Крендель
63,63,Джем//Топпинг
64,64,Попкорн
65,65,Игрушки со сладостями
